Info 0    [9:37:53.775] Starting TS Server
Info 1    [9:37:53.776] Version: 3.8.3
Info 2    [9:37:53.776] Arguments: /Users/ich-jeferson/.nvm/versions/node/v12.4.0/bin/node /Users/ich-jeferson/.nvm/versions/node/v12.4.0/bin/tsserver --logFile /Users/ich-jeferson/Desktop/blog/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/0x/plcx5lwx443gm651g30q56k00000gn/T/03c76fb37138228bea83aa7df67fdc27/tscancellation*
Info 3    [9:37:53.776] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [9:37:53.787] Search path: /Users/ich-jeferson/Desktop/blog
Info 5    [9:37:53.788] For info: /Users/ich-jeferson/Desktop/blog/app.js :: No config files found.
Info 6    [9:37:53.793] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [9:37:54.823] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1030ms
Info 8    [9:37:54.823] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [9:37:54.823] 	Files (90)

Info 10   [9:37:54.823] -----------------------------------------------
Info 11   [9:37:55.825] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 12   [9:37:55.827] Elapsed:: 2ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 13   [9:37:55.827] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 14   [9:37:55.828] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2 :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 15   [9:37:55.876] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 16   [9:37:55.876] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/README.md :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 17   [9:37:55.876] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 18   [9:37:55.876] Elapsed:: 0ms DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/package.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 19   [9:37:55.876] DirectoryWatcher:: Triggered with /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules/.staging/types-registry-65b6cbf2/index.json :: WatchInfo: /Users/ich-jeferson/Library/Caches/typescript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
